team1,team2,winner,match_date,ground
West Indies,Australia,Australia,1996-01-01,Australia
West Indies,Sri Lanka,West Indies,1996-01-03,Australia
Sri Lanka,West Indies,West Indies,1996-01-05,Australia
West Indies,Australia,West Indies,1996-01-07,Australia
Australia,Sri Lanka,Sri Lanka,1996-01-09,Australia
South Africa,England,South Africa,1996-01-09,South Africa
South Africa,England,England,1996-01-11,South Africa
Australia,Sri Lanka,Australia,1996-01-12,Australia
England,South Africa,South Africa,1996-01-13,South Africa
Sri Lanka,West Indies,Sri Lanka,1996-01-14,Australia
England,South Africa,South Africa,1996-01-14,South Africa
Australia,Sri Lanka,Sri Lanka,1996-01-16,Australia
England,South Africa,South Africa,1996-01-17,South Africa
South Africa,England,South Africa,1996-01-19,South Africa
South Africa,England,South Africa,1996-01-21,South Africa
New Zealand,Zimbabwe,New Zealand,1996-01-28,New Zealand
Zimbabwe,New Zealand,New Zealand,1996-01-31,New Zealand
Zimbabwe,New Zealand,Zimbabwe,1996-02-03,New Zealand
New Zealand,England,New Zealand,1996-02-14,India
South Africa,United Arab Emirates,South Africa,1996-02-16,Pakistan
Zimbabwe,West Indies,West Indies,1996-02-16,India
New Zealand,Netherlands,New Zealand,1996-02-17,India
Kenya,India,India,1996-02-18,India
United Arab Emirates,England,England,1996-02-18,Pakistan
New Zealand,South Africa,South Africa,1996-02-20,Pakistan
Zimbabwe,Sri Lanka,Sri Lanka,1996-02-21,Sri Lanka
West Indies,India,India,1996-02-21,India
England,Netherlands,England,1996-02-22,Pakistan
Australia,Kenya,Australia,1996-02-23,India
United Arab Emirates,Pakistan,Pakistan,1996-02-24,Pakistan
South Africa,England,South Africa,1996-02-25,Pakistan
Netherlands,Pakistan,Pakistan,1996-02-26,Pakistan
Kenya,Zimbabwe,Zimbabwe,1996-02-27,India
New Zealand,United Arab Emirates,New Zealand,1996-02-27,Pakistan
Australia,India,Australia,1996-02-27,India
Kenya,West Indies,Kenya,1996-02-29,India
Pakistan,South Africa,South Africa,1996-02-29,Pakistan
Zimbabwe,Australia,Australia,1996-03-01,India
Netherlands,United Arab Emirates,U.A.E.,1996-03-01,Pakistan
India,Sri Lanka,Sri Lanka,1996-03-02,India
England,Pakistan,Pakistan,1996-03-03,Pakistan
Australia,West Indies,West Indies,1996-03-04,India
South Africa,Netherlands,South Africa,1996-03-05,Pakistan
India,Zimbabwe,India,1996-03-06,India
Sri Lanka,Kenya,Sri Lanka,1996-03-06,Sri Lanka
Pakistan,New Zealand,Pakistan,1996-03-06,Pakistan
England,Sri Lanka,Sri Lanka,1996-03-09,Pakistan
India,Pakistan,India,1996-03-09,India
West Indies,South Africa,West Indies,1996-03-11,Pakistan
New Zealand,Australia,Australia,1996-03-11,India
Sri Lanka,India,Sri Lanka,1996-03-13,India
Australia,Sri Lanka,Sri Lanka,1996-03-17,Pakistan
New Zealand,West Indies,West Indies,1996-03-26,West Indies
West Indies,New Zealand,New Zealand,1996-03-29,West Indies
New Zealand,West Indies,West Indies,1996-03-30,West Indies
Sri Lanka,Pakistan,Sri Lanka,1996-04-02,Singapore
India,Sri Lanka,India,1996-04-03,Singapore
New Zealand,West Indies,New Zealand,1996-04-03,Guyana
India,Pakistan,Pakistan,1996-04-05,Singapore
New Zealand,West Indies,West Indies,1996-04-06,West Indies
Pakistan,Sri Lanka,Pakistan,1996-04-07,Singapore
Pakistan,India,Pakistan,1996-04-12,United Arab Emirates
South Africa,Pakistan,South Africa,1996-04-13,United Arab Emirates
Sri Lanka,West Indies,Sri Lanka,1996-04-13,West Indies
South Africa,India,South Africa,1996-04-14,United Arab Emirates
India,Pakistan,India,1996-04-15,United Arab Emirates
Pakistan,South Africa,South Africa,1996-04-16,United Arab Emirates
India,South Africa,South Africa,1996-04-17,United Arab Emirates
South Africa,India,South Africa,1996-04-19,United Arab Emirates
India,England,England,1996-05-25,England
Australia,Zimbabwe,Australia,1996-08-26,Sri Lanka
India,Sri Lanka,Sri Lanka,1996-08-28,Sri Lanka
Pakistan,England,England,1996-08-29,England
Australia,Sri Lanka,Sri Lanka,1996-08-30,Sri Lanka
England,Pakistan,England,1996-08-31,England
Zimbabwe,India,India,1996-09-01,Sri Lanka
England,Pakistan,Pakistan,1996-09-01,England
Zimbabwe,Sri Lanka,Sri Lanka,1996-09-03,Sri Lanka
India,Australia,Australia,1996-09-06,Sri Lanka
Sri Lanka,Australia,Sri Lanka,1996-09-07,Sri Lanka
Pakistan,India,India,1996-09-16,Canada
India,Pakistan,Pakistan,1996-09-17,Canada
India,Pakistan,India,1996-09-18,Canada
Pakistan,India,Pakistan,1996-09-21,Canada
Pakistan,India,Pakistan,1996-09-23,Canada
Kenya,Sri Lanka,Sri Lanka,1996-09-28,Kenya
South Africa,Pakistan,South Africa,1996-09-29,Kenya
South Africa,Sri Lanka,Sri Lanka,1996-10-01,Kenya
Kenya,Pakistan,Pakistan,1996-10-02,Kenya
South Africa,Kenya,South Africa,1996-10-03,Kenya
Pakistan,Sri Lanka,Pakistan,1996-10-04,Kenya
Pakistan,South Africa,South Africa,1996-10-06,Kenya
South Africa,India,South Africa,1996-10-17,India
Australia,South Africa,South Africa,1996-10-19,India
Australia,India,India,1996-10-21,India
South Africa,India,South Africa,1996-10-23,India
Australia,South Africa,South Africa,1996-10-25,India
India,South Africa,South Africa,1996-10-29,India
Zimbabwe,Pakistan,Pakistan,1996-10-30,Pakistan
Australia,South Africa,South Africa,1996-11-01,India
Zimbabwe,Pakistan,Pakistan,1996-11-01,Pakistan
Pakistan,Zimbabwe,Pakistan,1996-11-03,Pakistan
India,Australia,India,1996-11-03,India
India,South Africa,India,1996-11-06,India
New Zealand,Sri Lanka,New Zealand,1996-11-07,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,1996-11-08,United Arab Emirates
New Zealand,Pakistan,Pakistan,1996-11-10,United Arab Emirates
New Zealand,Sri Lanka,Match tied,1996-11-11,United Arab Emirates
Sri Lanka,Pakistan,Pakistan,1996-11-12,United Arab Emirates
New Zealand,Pakistan,Pakistan,1996-11-13,United Arab Emirates
Pakistan,New Zealand,Pakistan,1996-11-15,United Arab Emirates
Pakistan,New Zealand,Pakistan,1996-12-04,Pakistan
West Indies,Australia,Australia,1996-12-06,Australia
Pakistan,New Zealand,Pakistan,1996-12-06,Pakistan
West Indies,Australia,Australia,1996-12-08,Australia
Pakistan,New Zealand,New Zealand,1996-12-08,Pakistan
India,South Africa,India,1996-12-14,India
Pakistan,Australia,Pakistan,1996-12-15,Australia
England,Zimbabwe,Zimbabwe,1996-12-15,Zimbabwe
Pakistan,West Indies,West Indies,1996-12-17,Australia
Australia,Pakistan,Pakistan,1997-01-01,Australia
Zimbabwe,England,Zimbabwe,1997-01-01,Zimbabwe
Pakistan,West Indies,West Indies,1997-01-03,Australia
Zimbabwe,England,Zimbabwe,1997-01-03,Zimbabwe
Australia,West Indies,West Indies,1997-01-05,Australia
Pakistan,Australia,Pakistan,1997-01-07,Australia
Pakistan,West Indies,West Indies,1997-01-10,Australia
Australia,West Indies,West Indies,1997-01-12,Australia
West Indies,Pakistan,Pakistan,1997-01-14,Australia
Pakistan,Australia,Australia,1997-01-16,Australia
South Africa,India,South Africa,1997-01-23,South Africa
Zimbabwe,South Africa,South Africa,1997-01-25,South Africa
Zimbabwe,India,Match tied,1997-01-27,South Africa
Zimbabwe,South Africa,South Africa,1997-01-29,South Africa
Zimbabwe,South Africa,South Africa,1997-01-31,South Africa
India,South Africa,South Africa,1997-02-02,South Africa
India,South Africa,South Africa,1997-02-04,South Africa
India,Zimbabwe,Zimbabwe,1997-02-07,South Africa
Zimbabwe,India,India,1997-02-09,South Africa
South Africa,India,South Africa,1997-02-13,South Africa
India,Zimbabwe,Zimbabwe,1997-02-15,Zimbabwe
New Zealand,England,England,1997-02-20,New Zealand
New Zealand,England,England,1997-02-23,New Zealand
New Zealand,England,Match tied,1997-02-26,New Zealand
New Zealand,England,New Zealand,1997-03-02,New Zealand
New Zealand,England,New Zealand,1997-03-04,New Zealand
New Zealand,Sri Lanka,Sri Lanka,1997-03-25,New Zealand
New Zealand,Sri Lanka,New Zealand,1997-03-27,New Zealand
Australia,South Africa,South Africa,1997-03-29,South Africa
South Africa,Australia,Australia,1997-03-31,South Africa
South Africa,Australia,South Africa,1997-04-02,South Africa
Zimbabwe,Sri Lanka,Sri Lanka,1997-04-03,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,1997-04-04,United Arab Emirates
Australia,South Africa,Australia,1997-04-05,South Africa
Pakistan,Zimbabwe,Pakistan,1997-04-06,United Arab Emirates
Sri Lanka,Pakistan,Sri Lanka,1997-04-07,United Arab Emirates
Zimbabwe,Sri Lanka,Zimbabwe,1997-04-08,United Arab Emirates
Australia,South Africa,Australia,1997-04-08,South Africa
Pakistan,Zimbabwe,Pakistan,1997-04-09,United Arab Emirates
South Africa,Australia,Australia,1997-04-10,South Africa
Pakistan,Sri Lanka,Sri Lanka,1997-04-11,United Arab Emirates
South Africa,Australia,South Africa,1997-04-13,South Africa
India,West Indies,West Indies,1997-04-26,West Indies
West Indies,India,India,1997-04-27,West Indies
West Indies,India,West Indies,1997-04-30,West Indies
India,West Indies,West Indies,1997-05-03,West Indies
New Zealand,Pakistan,New Zealand,1997-05-09,India
Pakistan,Sri Lanka,Pakistan,1997-05-12,India
New Zealand,India,India,1997-05-14,India
India,Sri Lanka,Sri Lanka,1997-05-17,India
Sri Lanka,New Zealand,Sri Lanka,1997-05-20,India
Pakistan,India,Pakistan,1997-05-21,India
Australia,England,England,1997-05-22,England
Sri Lanka,Pakistan,Sri Lanka,1997-05-24,India
Australia,England,England,1997-05-24,England
Australia,England,England,1997-05-25,England
Sri Lanka,Pakistan,Sri Lanka,1997-05-27,India
West Indies,Sri Lanka,West Indies,1997-06-06,West Indies
Sri Lanka,Pakistan,Sri Lanka,1997-07-14,Sri Lanka
Pakistan,Bangladesh,Pakistan,1997-07-16,Sri Lanka
India,Sri Lanka,Sri Lanka,1997-07-18,Sri Lanka
